ResSitesID,Location,Station.Number,Date,Survey.Month,DayNight,BoaterID,NetterID,Tide.Stage,Time.Start,Time.Stop,Temp,Secchi,Conductivity,Turbidity,Channel.Type,Transport,Sample.Area,Start.Flow,Stop.Flow,Channel.Flow,Depth,Number.Snag,Light,Wind.Speed,Veg.Type,Bank.Type,RIPAR.BUSH,RIPAR.TREE,RIPAR.CANE,Volts,Amps,X..of.Range,Pulse.Width,Electrical.Config,Shock.Time,Shock.Distance,Difficulty,Total.Fish.Caught,Total.Species,Comments
350,4222,422231,1999-07-27,8,Day,11,99,ebb,1999-12-30,1999-12-30,22,41,514,14,6,no,1,0.02,NA,NA,4,4,NA,15,3,1,0,0,0,336,6,60,3,1,1584,1000,4,117,11,"Fisherman in middle of site, skipped 100M then added 100M to end of site:  Netter #20, Rible"
351,4256,426234,1999-08-11,8,Day,11,99,ebb,1999-12-30,1999-12-30,21.5,48,353,10,3,no,2,0.08,NA,NA,2,2,NA,7,3,4,0,0,0,336,6,60,3,1,750,500,3,47,6,
352,4262,426264,1999-08-11,8,Day,11,99,high,1999-12-30,1999-12-30,21.5,48,353,10,3,no,2,0.08,NA,NA,3,2,NA,7,6,4,0,0,0,336,6,60,3,1,783,500,2,27,6,
353,1099,109911,1999-07-28,8,Day,11,99,ebb,1999-12-30,1999-12-30,20,53,345,3,4,no,1,0.12,NA,NA,5,8,NA,25,1,1,0,0,0,504,5,60,3,1,1424,1000,3,90,10,lmb tag recap-tTW00403-448mm
354,1091,109151,1999-07-28,8,Day,11,99,high,1999-12-30,1999-12-30,18.5,61,121,3,2,no,1,0.02,NA,NA,3,9,NA,25,5,1,2,2,0,504,5,60,5,1,1414,900,4,40,6,"Very high tide, so bushes in water.  This is why site was riparian"
355,1091,109142,1999-07-28,8,Day,11,99,ebb,1999-12-30,1999-12-30,18.5,61,121,3,2,no,1,0.03,NA,NA,2,3,NA,25,4,2,0,0,0,504,5,60,5,1,256,100,2,3,2,
356,1222,122251,1999-07-29,8,Day,11,99,high,1999-12-30,1999-12-30,21.5,50,171,9,4,no,1,0,NA,NA,5,1,NA,15,5,1,0,4,0,504,5,60,3,1,1076,700,2,78,11,"LMB recaptures: NR00232, 404mm; NR00231, 427mm"
357,1222,122241,1999-07-29,8,Day,11,99,ebb,1999-12-30,1999-12-30,21.5,50,171,9,4,no,1,0.02,NA,NA,4,0,NA,15,4,1,0,0,0,504,5,60,3,1,379,150,3,45,8,
358,1222,122211,1999-07-29,8,Day,11,99,ebb,1999-12-30,1999-12-30,21.5,50,171,9,4,no,1,0.05,NA,NA,4,0,NA,17,1,1,0,0,0,504,5,60,3,1,358,150,3,34,9,
359,3070,307011,1999-08-03,8,Day,11,99,flood,1999-12-30,1999-12-30,19.5,44,196,6,1,yes,1,1.29,NA,NA,6,1,NA,25,1,1,0,0,0,504,5,60,4,1,1592,1000,3,31,7,"1 adult mitten crab on bank, alive."
360,3115,311531,1999-08-03,8,Day,11,99,ebb,1999-12-30,1999-12-30,21,59,277,9,3,no,1,0.54,NA,NA,4,5,NA,25,3,1,0,0,0,336,6,60,4,1,1555,1000,3,126,9,
361,4110,411061,1999-08-04,8,Day,11,99,low,1999-12-30,1999-12-30,20.5,94,143,4,3,no,1,0.04,NA,NA,3,2,NA,3,6,1,0,0,0,504,5,60,4,1,775,400,2,63,8,
362,4110,411031,1999-08-04,8,Day,11,99,flood,1999-12-30,1999-12-30,20.5,94,143,4,3,no,1,0.04,NA,NA,4,4,NA,3,3,1,0,0,0,504,5,60,4,1,947,600,3,57,9,"LMB tag recovery-NR00211, 364mm"
363,4092,409242,1999-08-04,8,Day,11,99,flood,1999-12-30,1999-12-30,21,68,123,4,5,no,2,0.02,NA,NA,5,1,NA,5,4,2,0,0,0,504,5,60,4,1,440,250,1,9,4,
364,4092,409262,1999-08-04,8,Day,11,99,flood,1999-12-30,1999-12-30,21,68,123,4,5,no,2,0.02,NA,NA,3,0,NA,5,6,2,0,0,0,504,5,60,4,1,1238,750,2,78,13,
365,5446,544662,1999-08-05,8,Day,11,99,ebb,1999-12-30,1999-12-30,21,23,709,21,2,yes,1,0.2,NA,NA,4,11,NA,25,6,2,2,2,0,504,6,60,3,1,1590,1000,4,45,6,"LMB tag recapture-NR00206, 318mm"
366,5397,539711,1999-08-09,8,Day,11,99,ebb,1999-12-30,1999-12-30,21,22,595,23,2,yes,1,0.24,NA,NA,1,0,NA,12,1,1,0,0,0,336,6,60,3,1,1527,1000,3,110,11,Fish not reacting well to shocker
367,2037,203711,1999-08-10,8,Day,11,99,ebb,1999-12-30,1999-12-30,19.5,62,142,4,1,no,1,1.09,NA,NA,5,5,NA,20,1,1,0,0,0,504,6,60,4,1,1408,1000,3,75,9,
368,2237,223711,1999-08-10,8,Day,11,99,ebb,1999-12-30,1999-12-30,19,71,151,8,2,no,1,2.08,NA,NA,2,5,NA,20,1,1,0,0,0,504,6,60,5,1,1282,900,3,90,9,
369,2237,223713,1999-08-10,8,Day,11,99,ebb,1999-12-30,1999-12-30,19,71,151,8,2,no,1,2.08,NA,NA,2,0,NA,25,1,3,0,0,0,504,6,60,5,1,205,100,2,17,6,
370,5086,508611,1997-02-13,2,Day,12,8,ebb,1999-12-30,1999-12-30,11.6666669845581,31,217,25,3,,1,0.34,NA,NA,3,0,NA,10,1,1,0,0,0,504,6,60,5,1,1696,1000,1,114,14,some tule/ pampas
378,NA,E07541,2001-04-03,NA,Day,11,13,high,1999-12-30,1999-12-30,16.2,51,888,NA,2,no,1,0.02,0.03,0.15,5,3,94000,10,4,1,0,0,0,500,8,60,60,1,1008,500,2,44,8,"moved site 100m east due to fisherman.                                            Start: 37 N 58.059',  121 W 21.991'  No end coordinates recorded"
381,NA,C38042,2001-04-04,NA,Day,13,12,flood,1999-12-30,1999-12-30,16.1,82,215,NA,2,yes,4,0.02,0.01,0.34,4,30,85000,10,4,2,0,0,0,500,7,60,60,1,748,500,3,39,8,"site located mid-channel/tule island                                                   Start: 38 N 03.880',  121 W 52.774'  (Coordinates may be incorrectly written)  No End coordinates recorded"
382,NA,E31052,2001-04-05,NA,Day,13,12,low,1999-12-30,1999-12-30,16.3,45,166,NA,3,no,1,0.09,0.05,0.4,3,99,4660,2,5,2,2,2,0,500,6,60,60,1,973,500,3,78,13,"Start: 38 N 15.531', 121 W 29.618' No end coordinates recorded."
383,NA,E02832,2001-04-09,NA,Day,11,13,ebb,1999-12-30,1999-12-30,13.9,47,558,NA,4,no,3,0,0.01,0,2,0,68200,15,3,2,0,0,0,500,6,35,60,1,928,500,4,130,9,"had to shock mud bank away from shore due to shallow water                  Start: 37 N 59.858', 121 W 21.979'     End:  37 N 59.705', 121 W 21.751'"
384,NA,S07862,2001-04-10,NA,Day,12,13,ebb,1999-12-30,1999-12-30,14.5,64,328,NA,2,yes,2,0,0,0.02,4,3,50500,15,6,2,0,0,0,500,7,40,60,1,746,500,3,40,7,"Start: 37 N 56.445', 121 W 32.194'   End:  37 N 56.457', 121 W 32.531'"
385,NA,C36966,2001-04-11,NA,Day,13,12,high,1999-12-30,1999-12-30,14.3,83,261,NA,5,no,2,0,0.02,0.01,5,5,9530,15,6,2,0,0,0,500,6,100,60,1,825,500,3,8,2,"heavy filamentous algae and Egera, fish not shocked very hard, also hidden among submerged vegetation. Start: 38 N 02.809', 121 W 31.672' TO 38 N 02.778', 121 W 31.741'   End: 38 N 02.874', 121 W 31.514'"
386,NA,C21862,2001-04-11,NA,Day,13,11,ebb,1999-12-30,1999-12-30,13.9,70,209,NA,6,no,4,0.01,0.02,0.12,3,7,20500,25,6,2,0,0,0,500,6,70,60,1,725,500,2,67,12,"Start: 38 N 05.146', 121 W 32.530'   End:  38 N 05.109', 121 W 32.641'"
387,NA,E47211,2001-04-16,NA,Day,13,12,flood,1999-12-30,1999-12-30,16.6,52,174,NA,4,no,1,0.01,0,0.02,3,3,53200,10,1,1,0,0,0,500,6,70,60,1,519,500,2,121,13,"Start: 38 N 08.622', 121 W 26.672'   End:  38 N 08.726', 121 W 26.354'"
388,NA,E26252,2001-04-12,NA,Day,11,12,high,1999-12-30,1999-12-30,14.9,99,239,NA,6,no,4,0,0,0,4,99,29500,3,5,2,2,2,0,500,6,60,60,1,629,410,2,24,6,"only sampled 410m due to filamentous algae                                                Start: 38 N 15.806', 121 W 27.668', TO 38 N 15.885', 121 W 27.741'      End:  38 N 15.783', 121 W 27.725"
389,NA,W22743,2001-04-17,NA,Day,11,12,flood,1999-12-30,1999-12-30,15.4,50,448,NA,1,yes,4,0,0,0.23,2,3,62000,3,4,3,0,0,0,500,7,35,60,1,724,500,1,26,8,"Start: 38 N 03.416', 121 W 47.353' End:  38 N 03.651', 121 W 47.213'"
390,NA,N53011,2001-04-18,NA,Day,11,9,low,1999-12-30,1999-12-30,16.3,77,212,NA,2,yes,1,0,0,0.05,3,4,38000,5,1,1,0,0,0,500,6,70,60,1,708,500,2,63,11,"Start: 38 N 11.584', 121 W 37.419'   End:  38 N 11.659', 121 W 37.104'"
391,NA,N25511,2001-04-19,NA,Day,13,12,ebb,1999-12-30,1999-12-30,16.1,67,222,NA,3,yes,1,0.13,0.04,0.47,2,5,22500,20,1,1,0,0,0,500,6,60,60,1,657,500,2,52,11,"Start: 38 N 16.441', 121 W 36.139   End:  38 N 16.688', 121 W 36.022"
392,NA,S22211,2001-04-23,NA,Day,11,13,ebb,1999-12-30,1999-12-30,16.5,73,359,NA,2,yes,1,0,0,0.33,3,3,8020,5,1,1,0,0,0,500,6,50,60,1,584,500,1,30,5,"Start: 37 N 55.268', 121 W 33.270'   End:  37 N 55.497', 121 W 33.431'"
393,NA,W21461,2001-04-24,NA,Day,11,13,ebb,1999-12-30,1999-12-30,16.5,79,249,NA,2,no,1,0,0,0,2,4,4970,3,6,1,0,0,0,500,6,55,60,1,660,500,2,54,8,"Start: 38 N 04.093', 121 W 38.869'   End:  38 N 03.805', 121 W 38.867'"
394,NA,C16441,2001-04-25,NA,Day,13,12,flood,1999-12-30,1999-12-30,18.4,91,785,NA,3,no,1,0,0,0.06,3,2,14500,0,4,1,0,0,0,500,6,20,60,1,767,500,1,83,8,"Start: 37 N 57.215', 121 W 27.115'   End:  37 N 57.054', 121 W 26.861'"
395,NA,S27144,2001-04-26,NA,Day,11,13,high,1999-12-30,1999-12-30,18.2,99,402,NA,2,yes,4,0,0,0,3,0,60000,3,4,4,0,0,0,500,6,45,60,1,751,500,2,42,6,"Start: 37 N 54.488', 121 W 30.830' TO 37 N 54.431', 121 W 30.867' TO 37 N 54.332', 121 W 30.804'            End:  37 N 54.360', 121 W 30.750'"
415,NA,E74862,2001-06-01,NA,Day,11,99,ebb,1999-12-30,1999-12-30,24.2,76,366,NA,3,no,4,0.06,0,0.12,3,99,26500,1,6,2,2,2,1,500,6,40,60,1,926,500,2,72,8,"Start: 38 N 02.602', 121 W 26.450', To :  38 N 02.612', 121 W 26.315'    End:  38 N 02.473', 121 W 26.395'"
416,NA,C66111,2001-06-04,NA,Day,13,12,ebb,1999-12-30,1999-12-30,21.8,43,325,NA,2,yes,1,0.29,0.22,0.4,4,2,86200,20,1,1,0,0,0,500,6,50,60,1,618,500,2,62,9,"Start: 38 N 00.420', 121 W 34.832'  End:  38 N 00.152', 121 W 34.822"
417,NA,S21931,2001-06-05,NA,Day,13,12,ebb,1999-12-30,1999-12-30,22.2,59,341,NA,2,yes,1,0.06,0.18,0.15,4,5,82100,5,3,1,0,0,0,500,6,50,60,1,722,500,2,56,11,"Start: 37 N 56.156', 121 W 33.644'  End:  37 N 55.955', 121 W 33.421'"
418,NA,N58043,2001-06-07,NA,Day,12,11,ebb,1999-12-30,1999-12-30,21.4,35,176,NA,1,yes,4,0.1,0.17,0.2,2,9,67100,5,4,3,0,0,0,500,6,75,60,1,662,500,4,69,15,"Start: 38 N 10.776', 121 W 39.755'  End:  38 N 10.633', 121 W 39.667'"
419,NA,C95541,2001-06-08,NA,Day,13,12,ebb,1999-12-30,1999-12-30,23.5,53,550,NA,1,yes,1,0.15,0.02,0.23,3,2,4090,0,4,1,0,0,0,500,6,25,60,1,584,500,1,48,9,"Start: 37 N 59.664', 121 W 25.552' End: 37 N 59. 559', 121 W 25.909'   Skipped 50m due to fisherman."
420,NA,C23011,2001-06-11,NA,Day,13,18,flood,1999-12-30,1999-12-30,21.8,48,194,NA,3,yes,1,0.06,0.05,0.11,4,2,62000,15,1,1,0,0,0,500,6,65,60,1,600,500,4,36,8,"Start: 38 N 05.540', 121 W 29.795'  End:  38 N 05.440', 121 W 30.149'  Timer malfuntioned, seconds are approximate"
421,NA,C26441,2001-06-12,NA,Day,13,12,flood,1999-12-30,1999-12-30,21.9,48,206,NA,2,yes,1,0.01,0.01,0.02,3,5,99000,20,4,1,0,0,0,500,6,60,60,1,751,500,3,54,9,"Start: 38 N 04.963', 121 W 32.295'  End:  38 N 05.148', 121 W 32.120'"
422,NA,S06551,2001-06-14,NA,Day,13,12,ebb,1999-12-30,1999-12-30,22.4,26,1806,NA,6,no,1,0,0,0,2,2,86700,0,5,1,4,0,0,500,6,20,60,1,559,500,3,46,10,"Start: 37 N 47.307', 121 W 20.725'  End:  37 N 47.133', 121 W 20.488'"
423,NA,S62453,2001-06-15,NA,Day,13,12,ebb,1999-12-30,1999-12-30,25,23,859,NA,6,no,4,0.01,0,0.05,2,20,82200,3,5,3,1,3,0,500,6,20,60,1,576,500,3,34,8,"Start: 37 N 49.179', 121 W 30.072'  End:  37 N 49.167', 121 W 30.155'"
424,NA,E19652,2001-06-20,NA,Day,13,12,ebb,1999-12-30,1999-12-30,25.8,52,167,NA,4,no,4,0.08,0.01,0.01,4,99,7600,2,5,2,1,3,0,500,6,60,60,1,NA,500,3,58,10,"Start: 38 N 17.053', 121 W 30.223'  End:  38 N 16.861', 121 W 29.973'  No value recorded for shocking sec's"
425,NA,N79252,2001-06-22,NA,Day,13,12,ebb,1999-12-30,1999-12-30,24,96,158,NA,3,yes,1,0,0,0.26,5,10,62400,3,5,2,1,3,0,500,6,80,60,1,665,500,4,13,5,"Start: 38 N 12.926', 121 W 32.413'  End:  38 N 12.726', 121 W 32.171'"
426,NA,E39552,2001-06-25,NA,Day,11,13,flood,1999-12-30,1999-12-30,24.9,52,140,NA,4,no,1,0,0.01,0.02,7,4,21600,15,5,2,1,3,0,500,6,90,60,1,616,500,4,22,9,"Start: 38 N 12.268', 121 W 26.588'  End:  38 N 12.265', 121 W 26.226'"
427,NA,W41352,2001-06-26,NA,Day,13,99,ebb,1999-12-30,1999-12-30,21.8,36,2830,NA,1,yes,2,0.01,0.01,0.51,5,10,86300,10,5,2,0,0,0,500,6,35,60,1,518,500,5,1,1,"Start: 38 N 01.684', 121 W 46.668'   End:  38 N 01.616', 121 W 47.011'  High conductivity and turbidity"
428,NA,W57241,2001-06-27,NA,Day,11,12,flood,1999-12-30,1999-12-30,23.2,41,662,NA,4,no,1,0,0.01,0.35,4,8,5700,2,4,1,0,0,0,500,7,20,60,1,762,500,3,28,8,"Start: 38 N 01.591', 121 W 43.040'  End:  38 N 01.479', 121 W 43.040'"
429,NA,E46911,2001-06-28,NA,Day,13,12,flood,1999-12-30,1999-12-30,23.4,74,182,NA,4,no,1,0,0,0.12,3,0,3410,5,1,1,0,0,0,500,6,60,60,1,271,500,2,73,12,"Start: 38 N 08.423', 121 W 27.342'  End:  38 N 08.403', 121 W 27.181'"
430,NA,E46941,2001-06-28,NA,Day,13,12,flood,1999-12-30,1999-12-30,23.4,74,182,NA,4,no,1,0,0,0.12,3,0,3410,5,4,1,0,0,0,500,6,60,60,1,211,300,2,39,8,"Start: 38 N 08.416', 121 W 27.524'  End:  38 N 08.423', 121 W 27.342'"
436,NA,C36244,2001-06-29,NA,Day,13,12,flood,1999-12-30,1999-12-30,23.3,61,242,NA,2,yes,4,0,0.24,0.34,15,0,84710,6,4,4,0,0,0,500,14,60,60,1,688,500,5,24,7,"Start: 38 N 02.972', 121 W 31.974'  End:  38 N 03.247', 121 W 31.942"
437,NA,C19842,2001-05-03,NA,Day,11,13,ebb,1999-12-30,1999-12-30,17.2,43,329,NA,3,no,4,0,0,0.26,4,3,70800,20,4,2,0,0,0,500,6,45,60,1,664,500,3,27,10,"Start: N 38 05.680', W 121 35.047'  End: N 38 05.905', W 121  35.767'"
438,NA,E29052,2001-05-04,NA,Day,11,12,ebb,1999-12-30,1999-12-30,17.5,36,145,NA,3,no,4,0.02,0.04,0.54,3,99,51000,3,5,2,0,4,0,500,6,70,60,1,567,500,2,71,13,"Start: N 38 15.414', W 121 29.866'   End:  N 38 15.586', W 121 29.622'"
441,NA,C36862,2001-05-07,NA,Day,11,13,ebb,1999-12-30,1999-12-30,19.3,78,372,NA,5,no,2,0,0,0.07,2,NA,70500,5,6,2,0,0,0,500,6,40,60,1,675,500,3,52,9,"Start: N 38 03.070', W 121 31.394'   End:  N 38 03.224', W 121 31.298'"
442,NA,W13732,2001-05-08,NA,Day,12,13,ebb,1999-12-30,1999-12-30,19.5,54,305,NA,3,no,2,0.13,0,0.22,4,1,97500,5,3,2,0,0,0,500,6,50,60,1,555,500,2,32,6,"Start:N 38 04.685, W 12138.831         End:N 38 04.729,  W121 38.887"
443,NA,W18512,2001-05-08,NA,Day,13,12,ebb,1999-12-30,1999-12-30,19.4,20,2375,NA,1,yes,1,0.02,0.02,0.34,2,1,57100,5,1,2,0,0,0,500,10,45,60,1,627,500,5,0,0,"Start: N 38 04.116', W 121 49.299'   End: N 38 03.947',W121 48.989'"
480,NA,S52654,2001-05-09,NA,Day,13,11,ebb,1999-12-30,1999-12-30,22.3,81,461,NA,2,yes,1,0.01,0,0.02,3,30,77000,5,5,4,2,2,0,500,6,40,60,1,630,500,3,47,8,"Start:N 37 50.727,W12132.246           End:N 37 50.946, W 121 32.469"
481,NA,E60941,2001-05-10,NA,Day,13,12,high,1999-12-30,1999-12-30,21.5,71,309,NA,3,no,1,0,0,0.12,2,0,8470,5,4,1,0,0,0,500,6,50,60,1,932,250,2,131,8,"Start:N38 04.858,W 12126.713           End:N38 05.008,W 121 26.541"
482,NA,S83652,2001-05-14,NA,Day,11,13,flood,1999-12-30,1999-12-30,20.3,32,507,NA,3,no,1,0.02,0,0.01,3,20,74900,10,5,2,0,1,3,500,5,30,60,1,704,500,2,91,10,Start:N 37 48.038 W121 25.611          End:N37 48.050 W121 25.763
483,NA,C86311,2001-05-15,NA,Day,13,11,flood,1999-12-30,1999-12-30,21.2,45,403,NA,1,yes,1,0.05,0.06,0.36,4,0,12520,15,1,1,0,0,0,500,6,35,60,1,560,500,2,56,8,Start N38 01.211 W 121 27.934          End N38 01.001  W 121 27.691
486,NA,E30132,2001-05-17,NA,Day,11,12,ebb,1999-12-30,1999-12-30,20.8,60,132,NA,4,no,2,0,0,0.04,1,1,58300,5,3,2,0,0,0,500,6,100,60,1,314,200,2,47,11,Start N38 15.053 W 121 30.253          End N 38 15.049 W 121 30.348
487,NA,E30162,2001-05-17,NA,Day,11,12,ebb,1999-12-30,1999-12-30,20.8,49,132,NA,4,no,2,0,0,0.06,2,99,4200,5,6,2,1,3,0,500,5,100,60,1,382,300,2,26,10,Start N38 15.049 W121 30.348           End N38 15.190 W121 30.285
488,NA,E32862,2001-05-21,NA,Day,13,11,ebb,1999-12-30,1999-12-30,23.5,45,145,NA,4,no,2,0,0,0.03,2,38,3200,0,6,2,2,2,0,500,6,80,60,1,609,500,4,42,8,"Start:N 38 16.184', W 121 28.360' End :N 38 16.153', W 121 28.707'"
489,NA,N35951,2001-05-22,NA,Day,11,13,ebb,1999-12-30,1999-12-30,22.2,51,192,NA,3,yes,1,0,0.15,0.25,5,3,4900,10,5,1,3,1,0,500,6,60,60,1,627,500,3,27,9,"Start: N 38 16.981', W 121 38.645'  End: N 38 16.781', W 121 38.447'"
490,NA,N26812,2001-05-22,NA,Day,11,12,ebb,1999-12-30,1999-12-30,21.9,20,262,NA,3,yes,2,0.01,0.02,0.17,2,4,7950,15,1,2,0,0,0,500,6,45,60,1,560,400,4,23,10,"Start: N 38 14.819', W 121 42.168'  End:  N 38 14.793', W 121 42.192'"
491,NA,N26852,2001-05-22,NA,Day,11,12,ebb,1999-12-30,1999-12-30,21.9,20,262,NA,3,yes,2,0.01,0.02,0.17,2,8,7950,15,5,2,0,4,0,500,6,45,60,1,165,100,4,21,6,"Start: N 38 14.793', W 121 42.263'  End: N 38 14.811', W 121 42.192'"
492,NA,C32511,2001-05-23,NA,Day,11,13,ebb,1999-12-30,1999-12-30,21.4,47,320,NA,2,yes,1,0.35,0.14,0.75,2,0,39300,20,1,1,0,0,0,500,6,40,60,1,614,500,2,33,10,"Start: N 38 03.247', W 121 37.574'  End: N 38 03.062', W 121 37.751'"
493,NA,S22142,2001-05-23,NA,Day,11,13,ebb,1999-12-30,1999-12-30,24.1,73,362,NA,2,yes,1,0.02,0.02,0.28,3,5,55000,5,4,2,0,0,0,500,6,50,60,1,786,500,2,56,8,"Start: N 37 55.689, W 121 33.479  End: N 37 55.448, W 121 33.385"
494,NA,C48761,2001-07-02,NA,Day,12,13,flood,1999-12-30,1999-12-30,24,66,239,NA,2,yes,1,0.01,0,0.05,3,1,76400,10,6,1,0,0,0,500,6,50,60,1,533,500,2,44,6,"Start: 38 N 01.726', 121 W 31.273      Finish: 38 N 01.476', 121 W 31.421"
495,NA,W22262,2001-07-05,NA,Day,13,12,ebb,1999-12-30,1999-12-30,23.5,71,255,NA,2,no,4,0.01,0,0.03,3,1,3580,10,6,2,0,0,0,500,6,40,60,1,819,500,3,122,14,"Start: 38 N 04.959, 121 W 38.967   Finish: 38 N 04.959, 121 W 38.828"
496,NA,C49462,2001-07-06,NA,Day,13,12,ebb,1999-12-30,1999-12-30,25.5,99,312,NA,5,no,4,0,0,0.06,2,0,80000,3,6,2,0,0,0,500,6,50,60,1,672,500,2,158,7,"Start: 38 N 01.354,  121W  36.481  Finish: 38 N 01.574, 121 W 36.592"
497,NA,E36852,2001-07-09,NA,Day,11,12,ebb,1999-12-30,1999-12-30,22.7,47,158,NA,2,yes,1,0.03,0.03,0.16,7,21,1925,10,5,2,1,3,0,500,6,70,60,1,700,500,4,17,7," Start: 38 N 15.366, 121 W 28.585   Finish: 38 N 15.156, 121 W 28.772"
498,NA,N23111,2001-07-10,NA,Day,11,12,ebb,1999-12-30,1999-12-30,21.7,86,139,NA,3,yes,1,0.08,0.03,0.22,2,5,42600,20,1,1,0,0,0,500,6,95,60,1,792,500,4,62,7,"Start: 38 N 17.086, 121 W 35.208    Finish: 38 N 17.269, 121 W 34.987"
499,NA,C08852,2001-07-11,NA,Day,12,99,flood,1999-12-30,1999-12-30,23.4,56,313,NA,3,no,1,0.01,0.03,0.03,2,6,5350,7,5,2,3,1,0,500,6,40,60,1,830,500,2,40,8,"Start: 37 N 57.491, 121 W 36.254   Finish: 37 N 57.756, 121 W 36.253"
500,NA,N85511,2001-07-12,NA,Day,12,99,flood,1999-12-30,1999-12-30,21.3,48,239,NA,2,yes,1,0.11,0.01,0.17,2,0,6850,20,1,1,0,0,0,500,6,85,60,1,608,500,3,43,9,"Start: 38 N 07.948, 121 W 33.855  Finish: 38 N 07.715, 121 W 33.663"
501,NA,E08251,2001-07-13,NA,Day,9,12,flood,1999-12-30,1999-12-30,24.8,57,236,NA,2,no,1,0,0,0,2,1,6180,5,5,1,2,2,0,500,5,40,60,1,579,500,3,76,7,"Start: N 37 58.783, W 121 19.175    Finish: N 37 58.851, W 121 19.381"
502,NA,E70232,2001-07-16,NA,Day,12,99,ebb,1999-12-30,1999-12-30,23.3,87,238,NA,3,no,4,0,0,0.07,2,2,63300,10,3,2,0,0,0,500,6,50,60,1,544,200,4,100,7,"Start: N 38 02.697, W 121 26.852  Finish: N 38 02.728, W 121 26.850"
503,NA,E70242,2001-07-16,NA,Day,12,99,flood,1999-12-30,1999-12-30,23.3,87,238,NA,3,no,4,0,0,0.07,3,2,63300,10,4,2,0,0,0,500,6,50,60,1,306,305,3,41,3,"Start: N 38 02.668, W 121 26.990 Finish: N 38 02.574, W 121 26.930"
504,NA,E62031,2001-07-17,NA,Day,12,99,ebb,1999-12-30,1999-12-30,23.8,75,222,NA,3,no,1,0,0,0.02,5,6,83000,5,3,1,0,0,0,500,6,50,60,1,586,500,2,145,9,"Start: N 38 05.061, W 121 25.722 Finish: N 38 05.053, W 121 26.065"
505,NA,S72811,2001-07-18,NA,Day,12,99,ebb,1999-12-30,1999-12-30,23.7,23,687,NA,2,no,1,0.01,0.23,0.41,1,15,63000,5,1,1,0,0,0,500,6,20,60,1,785,500,3,152,11,"Start: N 37 51.887, W 121 19.550  Finish: N 37 52.130, W 121 19.702"
506,NA,S61552,2001-07-23,NA,Day,11,12,flood,1999-12-30,1999-12-30,23.3,49,493,NA,6,yes,4,0,0,0.02,3,20,32100,3,5,2,2,2,0,500,7,20,60,1,766,500,4,50,11,"Start: N 37 49.149, W 121 31.300  Finish: N 37 49.157, W 121 30.952"
507,NA,S21242,2001-07-25,NA,Day,12,11,high,1999-12-30,1999-12-30,24.3,77,418,NA,3,no,2,0,0,0.01,4,5,6150,5,4,2,0,0,0,500,6,30,60,1,702,500,3,40,8,"Start: N 37 55.188, W 121 35.411 Finish: N 37 55.046, W 121 35.584"
508,NA,W18343,2001-07-26,NA,Day,11,12,flood,1999-12-30,1999-12-30,20.4,19,5360,NA,1,yes,1,0.07,0.02,0.29,2,4,86500,25,4,3,0,0,0,500,8,25,60,1,1021,500,5,2,2,"Start: N 38 03.979, W 121 48.756 Finish: N 38 04.055, W 121 49.078"
509,NA,E39051,2001-08-01,NA,Day,12,99,ebb,1999-12-30,1999-12-30,22.4,64,150,NA,4,no,1,0.03,0,0.02,3,20,5050,2,5,1,0,4,0,500,6,80,60,1,827,500,2,191,16,"Start: N 38 11.787, W 121 27.781  Finish: N 38 12.012, W 121 27.603"
510,NA,C81942,2001-08-02,NA,Day,12,99,ebb,1999-12-30,1999-12-30,23.7,77,608,NA,3,yes,4,0,0,0.25,1,20,80500,5,4,2,0,0,0,500,6,25,60,1,715,500,3,76,6,"Start: N 37 58.353, W 121 34.721  Finish: N 37 58.473, W 121 34.812"
511,NA,N68362,2001-08-03,NA,Day,12,99,ebb,1999-12-30,1999-12-30,21.9,83,155,NA,2,yes,4,0,0,0.35,2,10,82100,15,6,2,0,0,0,500,6,85,60,1,880,400,4,173,14,"Start: N 38 09.417, W 121 32.101  Finish: N 38 09.408, W 121 32.142"
512,NA,E08651,2001-08-06,NA,Day,11,12,ebb,1999-12-30,1999-12-30,26.6,57,362,NA,2,yes,1,0,0,0.09,2,5,2570,5,5,1,2,2,0,500,6,35,60,1,684,500,3,275,12,"Start: N 37 58.763, W 121 20.397  Finish: N 37 58.602, W 121 20.673"
513,NA,N77751,2001-08-07,NA,Day,18,12,ebb,1999-12-30,1999-12-30,22.3,76,160,NA,3,no,1,0,0,0.31,3,15,7800,3,5,1,1,3,0,500,6,70,60,1,560,500,3,58,9,"Start: N 38 13.643, W 121 30.033  Finish: N 38 13.500, W 121 30.298"
514,NA,W36352,2001-08-08,NA,Day,12,99,ebb,1999-12-30,1999-12-30,22.5,56,4720,NA,3,no,4,0.22,0.07,0.38,3,NA,64000,15,5,2,0,1,3,500,8,20,60,1,772,500,5,6,2,"Start: N 38 01.795, W 121 48.974 Finish: N 38 01.766, W 121 48.961"
515,NA,S42642,2001-08-09,NA,Day,12,99,flood,1999-12-30,1999-12-30,24.6,60,586,NA,2,yes,1,0.01,0.05,0.55,3,NA,42000,5,4,2,0,0,0,500,6,40,60,1,485,180,3,23,5,"Start: N 37 52.953, W 121 34.475 Finish: N 37 52.878, W 121 34.529"
